id,name,type,amount,entry_date,notes,created_at
12f6ebc3-25e6-483c-8176-2aac0a60fa88,Publicidad,gasto,60000,2026-07-13,,2026-07-13 03:12:36.618628+00
378b91ab-34dd-41db-a255-c57e7d3d4434,Venta,ingreso,40000,2026-07-01,Buzo Rojo GAP - Victoria Cativelli,2026-07-12 20:10:29.514267+00
669cdef9-0ed5-4fa4-aa0c-29d718ad4255,Buzo Adidas Negro y Pantalon Nike gris,ingreso,89400,2026-07-29,Seño con 400,2026-07-29 17:18:09.662137+00
68f4084a-bdf9-4914-a02d-28e74e86a279,Compra de ropa,gasto,488000,2026-06-12,Gasto por 20 prendas: $22.500,2026-07-12 20:07:41.524048+00
77abb2d2-4a17-4f55-9d57-93b0b8422c93,Buzo Champion Gris,ingreso,47352,2026-07-21,,2026-07-21 18:45:53.258347+00
b9cc9d9a-26a4-419d-b74c-160036eb0f2f,Compra de ropa extra,gasto,209000,2026-06-12,Ropa agregada,2026-07-12 20:25:31.408406+00
c61a41b3-a53b-4c37-9216-952d21f4eeea,Buzo Nike Owasso,ingreso,46000,2026-07-17,,2026-07-17 22:55:51.082333+00
e7831777-8e69-46e6-879e-1cb27b8e7527,Venta,ingreso,160000,2026-07-02,"Hoodie Nike Sportwear Icon Clash - Mujer (M), Polar Zip Lafuma Technowarm Fleece Trekking – Mujer (L)",2026-07-12 20:11:54.438443+00
